DECADE,NHGISNAM,NHGISST,NHGISCTY,ICPSRST,ICPSRCTY,ICPSRNAM,STATENAM,ICPSRSTI,ICPSRCTYI,ICPSRFIP,GISJOIN,GISJOIN2,STATE,COUNTY,PID,X_CENTROID,Y_CENTROID,Date_of_entry,In_TV,Year_received,Farm_plan,Contract_approved,First_Phosphate
1940,Abbeville,450,10,48,10,ABBEVILLE,South Carolina,48,10,45001,G4500010,4500010,450,10,938,1233914.381,-278882.0675,NA,No,1939,NA,NA,NA
1940,Acadia,220,10,45,10,ACADIA,Louisiana,45,10,22001,G2200010,2200010,220,10,211,344519.8505,-798655.7796,NA,No,1959,NA,NA,NA
1940,Accomack,510,10,40,10,ACCOMACK,Virginia,40,10,51001,G5100010,5100010,510,10,2712,1762470.819,219175.1678,NA,No,1935,NA,NA,NA
1940,Ada,160,10,63,10,ADA,Idaho,63,10,16001,G1600010,1600010,160,10,542,-1618306.391,839230.4596,NA,No,1942,NA,NA,NA
1940,Adair,190,10,31,10,ADAIR,Iowa,31,10,19001,G1900010,1900010,190,10,326,126987.5562,430242.1532,1940-03-27,No,1937,Y,N,N
1940,Adair,210,10,51,10,ADAIR,Kentucky,51,10,21001,G2100010,2100010,210,10,5,941702.8435,8798.581531,NA,No,1935,NA,NA,NA
1940,Adair,290,10,34,10,ADAIR,Missouri,34,10,29001,G2900010,2900010,290,10,2299,286830.3478,306671.3743,NA,No,1937,NA,NA,NA
1940,Adair,400,10,53,10,ADAIR,Oklahoma,53,10,40001,G4000010,4000010,400,10,647,120017.291,-180226.8562,NA,No,1945,NA,NA,NA
1940,Adams,80,10,62,10,ADAMS,Colorado,62,10,8001,G0800010,800010,80,10,2153,-708218.934,297171.7672,NA,No,1954,NA,NA,NA
1940,Adams,160,30,63,30,ADAMS,Idaho,63,30,16003,G1600030,1600030,160,30,3075,-1600808.572,999513.3889,NA,No,1942,NA,NA,NA
1940,Adams,170,10,21,10,ADAMS,Illinois,21,10,17001,G1700010,1700010,170,10,2869,407059.1041,289117.8198,1939-02-14,No,1940,Y,N,N
1940,Adams,180,10,22,10,ADAMS,Indiana,22,10,18001,G1800010,1800010,180,10,772,924401.4384,417563.3304,1942-02-11,No,1940,N,N,Y
1940,Adams,190,30,31,30,ADAMS,Iowa,31,30,19003,G1900030,1900030,190,30,327,108496.2226,396188.823,NA,No,1937,NA,NA,NA
